Label,lumMean,lumSD,area,lwMean,lwSD,mwMean,mwSD,swMean,swSD
aggeneys_olivacea_CDE/CDE_b01_a2,0.117885882,0.064975157,64.76457867,0.130354661,0.070308302,0.105417103,0.060084331,0.061949705,0.036646781
aggeneys_olivacea_CDE/CDE_b01_a3,0.127521125,0.07858334,75.40113263,0.140697582,0.08446406,0.114344667,0.073044143,0.064979941,0.040231809
aggeneys_olivacea_CDE/CDE_b01_b1,0.207269091,0.085809277,317.9597143,0.2152958,0.087645487,0.199242382,0.084205054,0.157456595,0.065795707
aggeneys_olivacea_CDE/CDE_b01_b2,0.249890747,0.089030167,92.807141,0.269547055,0.090742496,0.230234438,0.087580179,0.161486469,0.067375822
aggeneys_olivacea_CDE/CDE_b01_b3,0.123277767,0.073489571,150.6463469,0.131631388,0.076066069,0.114924147,0.07104346,0.088878684,0.052670786
aggeneys_olivacea_CDE/CDE_b01_c1,0.09871028,0.068697211,69.51034302,0.116296058,0.070260681,0.081124502,0.067637348,0.037826208,0.047562013
aggeneys_olivacea_CDE/CDE_b01_c2,0.10362365,0.052405164,12.51407059,0.121581659,0.054215022,0.085665641,0.051045378,0.041044928,0.03281463
aggeneys_olivacea_CDE/CDE_b01_c3,0.112365548,0.081097627,15.1581857,0.13118879,0.08377251,0.093542306,0.078793446,0.051350821,0.05629205
aggeneys_olivacea_CDE/CDE_b02_a1,0.110077646,0.058258534,85.38662146,0.117841552,0.062032679,0.10231374,0.054731673,0.069658977,0.036557714
aggeneys_olivacea_CDE/CDE_b02_a2,0.102822937,0.050402517,46.8031764,0.10972846,0.05240408,0.095917413,0.04870968,0.067476748,0.038292868
aggeneys_olivacea_CDE/CDE_b02_a3,0.152477883,0.094742078,63.862873,0.160996723,0.10043793,0.143959043,0.089204363,0.099635894,0.055292773
aggeneys_olivacea_CDE/CDE_b02_b1,0.221099705,0.064356362,217.4621657,0.241697153,0.067211594,0.200502258,0.061974951,0.127972094,0.04646164
aggeneys_olivacea_CDE/CDE_b02_b2,0.119496944,0.048364746,56.03160393,0.124888036,0.049787047,0.114105852,0.046999713,0.095065858,0.037832993
aggeneys_olivacea_CDE/CDE_b02_b3,0.235985091,0.114868869,301.2296503,0.249501494,0.11754556,0.222468687,0.112346479,0.180385442,0.089014353
aggeneys_olivacea_CDE/CDE_b02_b4,0.306226789,0.114505253,237.8107342,0.323290108,0.115724011,0.28916347,0.11343998,0.213122007,0.09842339
aggeneys_olivacea_CDE/CDE_b02_b5,0.237082206,0.097727426,57.55933796,0.260118376,0.100121473,0.214046036,0.095779012,0.129473282,0.068577863
aggeneys_olivacea_CDE/CDE_b02_b6,0.122103346,0.036615048,34.21079607,0.132824828,0.037384049,0.111381864,0.036285124,0.07398555,0.030703141
aggeneys_olivacea_CDE/CDE_b02_c1,0.071083654,0.051297819,59.71383466,0.085179666,0.053918224,0.056987643,0.049052548,0.028598487,0.034432581
aggeneys_olivacea_CDE/CDE_b02_c2,0.096617507,0.03725758,41.4920156,0.111685801,0.038510879,0.081549214,0.036341702,0.040954061,0.025823864
aggeneys_olivacea_CDE/CDE_b03_a1,0.160477465,0.076432195,101.5052646,0.173064214,0.081225863,0.147890715,0.071964889,0.100312701,0.046891967
aggeneys_olivacea_CDE/CDE_b03_a2,0.168083715,0.076345823,88.07086635,0.181805816,0.081021348,0.154361614,0.072116114,0.100080583,0.048596851
aggeneys_olivacea_CDE/CDE_b03_a3,0.163003584,0.065195149,43.38696191,0.179779066,0.069005003,0.146228101,0.062035357,0.09281959,0.042193279
aggeneys_olivacea_CDE/CDE_b03_b1,0.330652058,0.080689019,32.74240166,0.357003795,0.082315689,0.304300322,0.079378538,0.189873737,0.060794
aggeneys_olivacea_CDE/CDE_b03_b2,0.165270921,0.076894736,39.83157915,0.17726816,0.077657324,0.153273683,0.076421243,0.112874969,0.059918083
aggeneys_olivacea_CDE/CDE_b03_b3,0.329045453,0.114021993,106.9537516,0.355125832,0.11561856,0.302965072,0.112869142,0.19155486,0.08659648
aggeneys_olivacea_CDE/CDE_b03_b4,0.25623059,0.067287259,22.7969615,0.28277577,0.068175578,0.22968541,0.066605079,0.12806933,0.04885923
aggeneys_olivacea_CDE/CDE_b03_b5,0.051360347,0.031847786,12.81996961,0.05408729,0.032782835,0.048633405,0.031160509,0.040231457,0.024049614
aggeneys_olivacea_CDE/CDE_b03_b6,0.333573833,0.055966749,29.65697374,0.349603938,0.056616734,0.317543728,0.055497923,0.235662462,0.046734484
aggeneys_olivacea_CDE/CDE_b03_b7,0.313839832,0.090807853,152.5294078,0.340575175,0.092497486,0.28710449,0.089450932,0.168969677,0.067344847
aggeneys_olivacea_CDE/CDE_b03_b8,0.142117366,0.070070502,210.1943618,0.15465789,0.072654189,0.129576843,0.067701088,0.089737722,0.047948229
aggeneys_olivacea_CDE/CDE_b03_b9,0.103992425,0.032703162,11.06303595,0.120558243,0.034381756,0.087426606,0.031323012,0.03583075,0.019542324
aggeneys_olivacea_CDE/CDE_b04_a1,0.131862802,0.065012196,114.3855077,0.138543192,0.069276409,0.125182413,0.060871431,0.09986343,0.039982344
aggeneys_olivacea_CDE/CDE_b04_a2,0.129264267,0.042055545,105.5138394,0.137054409,0.044398999,0.121474124,0.039924661,0.098429071,0.029101257
aggeneys_olivacea_CDE/CDE_b04_a3,0.120856769,0.039399321,72.28546925,0.127419955,0.042089385,0.114293584,0.036836506,0.093842145,0.025366381
aggeneys_olivacea_CDE/CDE_b04_b1,0.158498934,0.07388063,467.0087699,0.168576446,0.07791822,0.148421422,0.07009839,0.11087487,0.048437415
aggeneys_olivacea_CDE/CDE_b04_b10,0.118324598,0.020068097,0.954421388,0.132133901,0.021031237,0.104515295,0.019249878,0.067679689,0.011217375
aggeneys_olivacea_CDE/CDE_b04_b11,0.297679105,0.069030144,18.99776597,0.318668139,0.072131363,0.276690071,0.066333289,0.197541201,0.047023778
aggeneys_olivacea_CDE/CDE_b04_b12,0.295232151,0.048693481,40.38735479,0.320177101,0.050566598,0.2702872,0.047129455,0.16727947,0.035493415
aggeneys_olivacea_CDE/CDE_b04_b13,0.307755447,0.089453371,87.6683024,0.327748177,0.089387593,0.287762716,0.089780498,0.205529462,0.079290332
aggeneys_olivacea_CDE/CDE_b04_b14,0.47653878,0.145736944,0.296711312,0.491237872,0.148517489,0.461839691,0.143165296,0.371461536,0.111204021
aggeneys_olivacea_CDE/CDE_b04_b15,0.192651367,0.05290658,35.2905138,0.212060132,0.056139803,0.173242603,0.049978168,0.114334534,0.034357548
aggeneys_olivacea_CDE/CDE_b04_b16,0.178319196,0.051069708,24.62209373,0.192397964,0.05299699,0.164240427,0.049312691,0.117492977,0.037707057
aggeneys_olivacea_CDE/CDE_b04_b17,0.115267293,0.039401866,12.26901276,0.121165627,0.041040711,0.109368959,0.03787839,0.08831124,0.027772496
aggeneys_olivacea_CDE/CDE_b04_b2,0.238789751,0.076687979,568.7906404,0.256701212,0.079893072,0.220878291,0.073858107,0.155827133,0.053957843
aggeneys_olivacea_CDE/CDE_b04_b3,0.203474295,0.054962237,41.92860521,0.211705933,0.056241608,0.195242658,0.053798762,0.149430481,0.043463463
aggeneys_olivacea_CDE/CDE_b04_b4,0.256269799,0.058777179,40.58516233,0.279889079,0.060223618,0.23265052,0.057888649,0.156590445,0.041021131
aggeneys_olivacea_CDE/CDE_b04_b5,0.212888639,0.046699421,7.261185169,0.225500977,0.049359976,0.200276302,0.044357547,0.13869925,0.031251444
aggeneys_olivacea_CDE/CDE_b04_b6,0.178648768,0.050322158,317.4712137,0.196649466,0.052443946,0.160648071,0.048385292,0.096802694,0.03074757
aggeneys_olivacea_CDE/CDE_b04_b7,0.150458378,0.082183704,187.2281348,0.166465055,0.087882099,0.134451702,0.076784382,0.092152759,0.048218478
aggeneys_olivacea_CDE/CDE_b04_b8,0.388169779,0.098070066,82.10661369,0.409335418,0.099103172,0.36700414,0.097282905,0.255450487,0.0803264
aggeneys_olivacea_CDE/CDE_b04_b9,0.176065086,0.05806215,840.9837079,0.188999591,0.060015444,0.163130581,0.056396253,0.12073814,0.041417152
aggeneys_olivacea_CDE/CDE_b04_c1,0.092762645,0.024475451,3.12371076,0.106744561,0.025867879,0.078780729,0.023334136,0.050182876,0.012954752
aggeneys_olivacea_CDE/CDE_b04_c2,0.086171386,0.028592915,7.008980554,0.097154666,0.029180409,0.075188105,0.028296455,0.052559442,0.021464596
aggeneys_olivacea_CDE/CDE_b04_p1,0.158498934,0.07388063,467.0087699,0.168576446,0.07791822,0.148421422,0.07009839,0.11087487,0.048437415
aggeneys_olivacea_CDE/CDE_b04_p2,0.178648768,0.050322158,317.4712137,0.196649466,0.052443946,0.160648071,0.048385292,0.096802694,0.03074757
aggeneys_olivacea_CDE/CDE_b04_p3,0.176065086,0.05806215,840.9837079,0.188999591,0.060015444,0.163130581,0.056396253,0.12073814,0.041417152
aggeneys_olivacea_CDE/CDE_b04_p4,0.176065086,0.05806215,840.9837079,0.188999591,0.060015444,0.163130581,0.056396253,0.12073814,0.041417152
aggeneys_olivacea_CDE/CDE_b04_p5,0.176065086,0.05806215,840.9837079,0.188999591,0.060015444,0.163130581,0.056396253,0.12073814,0.041417152
aggeneys_olivacea_CDE/CDE_b04_p6,0.176065086,0.05806215,840.9837079,0.188999591,0.060015444,0.163130581,0.056396253,0.12073814,0.041417152
aggeneys_olivacea_CDE/CDE_b04_p7,0.176065086,0.05806215,840.9837079,0.188999591,0.060015444,0.163130581,0.056396253,0.12073814,0.041417152
aggeneys_olivacea_CDE/CDE_b04_p8,0.307755447,0.089453371,87.6683024,0.327748177,0.089387593,0.287762716,0.089780498,0.205529462,0.079290332
aggeneys_olivacea_CDE/CDE_b05_a1,0.134642602,0.059606176,117.5987319,0.144103105,0.064500462,0.125182099,0.054774562,0.09224907,0.029962208
aggeneys_olivacea_CDE/CDE_b05_a2,0.134879359,0.048386911,116.4261362,0.144909998,0.051739998,0.12484872,0.045170279,0.093427228,0.027737605
aggeneys_olivacea_CDE/CDE_b05_a3,0.129677161,0.031426294,76.1897435,0.138251926,0.033957556,0.121102395,0.029093662,0.091240249,0.017459335
aggeneys_olivacea_CDE/CDE_b05_b1,0.126883115,0.043932905,80.42847227,0.141202446,0.045794204,0.112563784,0.042503265,0.080678198,0.029505807
aggeneys_olivacea_CDE/CDE_b05_b2,0.221374354,0.041843423,15.01365569,0.234042521,0.044672363,0.208706188,0.039994425,0.162812522,0.039360635
aggeneys_olivacea_CDE/CDE_b05_b3,0.177865777,0.039320182,117.7845065,0.19346854,0.040154495,0.162263014,0.038594145,0.116320068,0.031127745
aggeneys_olivacea_CDE/CDE_b05_b4,0.196914355,0.06846919,62.8190852,0.216215222,0.071254082,0.177613488,0.06626903,0.124146782,0.046090397
aggeneys_olivacea_CDE/CDE_b05_b5,0.26316186,0.051120446,11.66289544,0.276009385,0.050448629,0.250314334,0.051866281,0.18994038,0.04602393
aggeneys_olivacea_CDE/CDE_b05_c1,0.129478127,0.043685835,39.32626762,0.145942676,0.046390865,0.113013578,0.041405782,0.070554091,0.025967285
aggeneys_olivacea_CDE/CDE_b05_c2,0.086950124,0.038324821,7.858776979,0.09820593,0.039633142,0.075694318,0.037402499,0.050395811,0.026288078
aggeneys_olivacea_CDE/CDE_b06_a1,0.103499608,0.052645551,70.0037951,0.112178843,0.055869592,0.094820374,0.049625152,0.064503373,0.030562926
aggeneys_olivacea_CDE/CDE_b06_a2,0.095605074,0.055959102,54.70550633,0.102803911,0.059401095,0.088406237,0.052763999,0.065486472,0.034463667
aggeneys_olivacea_CDE/CDE_b06_a3,0.080395797,0.058932569,64.24325459,0.087081164,0.063815341,0.07371043,0.05415712,0.053677807,0.031099191
aggeneys_olivacea_CDE/CDE_b06_b1,0.10971345,0.07049664,2503.000082,0.121758015,0.074120196,0.097668885,0.067210258,0.066259732,0.045178736
aggeneys_olivacea_CDE/CDE_b06_b2,0.499685283,0.087909107,993.470497,0.512249521,0.08830871,0.487121046,0.087832565,0.407356686,0.080758196
aggeneys_olivacea_CDE/CDE_b06_c1,0.061289566,0.046365399,51.3686599,0.0738157,0.047639485,0.048763432,0.045405529,0.024890439,0.029240204
aggeneys_olivacea_CDE/CDE_b06_c2,0.052125175,0.038330909,21.9002949,0.063170004,0.041295027,0.041080347,0.035738991,0.017373311,0.020845611
aggeneys_olivacea_CDE/CDE_b07_a1,0.117884203,0.058130426,91.22951045,0.124706321,0.062475291,0.111062086,0.054039564,0.087892515,0.035954524
aggeneys_olivacea_CDE/CDE_b07_a2,0.141344378,0.079767153,106.6302619,0.149321208,0.084146381,0.133367548,0.075647665,0.099111576,0.052311819
aggeneys_olivacea_CDE/CDE_b07_a3,0.10105763,0.069102165,128.2700885,0.107430837,0.073748959,0.094684423,0.064723212,0.072716433,0.043957263
aggeneys_olivacea_CDE/CDE_b07_b1,0.151525426,0.088439336,1873.635628,0.177247665,0.094852876,0.125803186,0.082358072,0.074918991,0.051512008
aggeneys_olivacea_CDE/CDE_b07_b2,0.456867263,0.090409439,65.98194285,0.478458536,0.089997177,0.435275989,0.091226147,0.303413443,0.086112329
aggeneys_olivacea_CDE/CDE_b07_b3,0.159686663,0.066055212,82.31276332,0.186408173,0.068038551,0.132965153,0.064546381,0.069154223,0.045277207
aggeneys_olivacea_CDE/CDE_b07_b4,0.293815633,0.072201994,65.55497167,0.304366901,0.072794054,0.283264365,0.071699397,0.263905101,0.065580272
aggeneys_olivacea_CDE/CDE_b07_c1,0.044923525,0.033426095,18.70398591,0.057127482,0.035530975,0.032719567,0.031790611,0.012682969,0.020969837
aggeneys_olivacea_CDE/CDE_b08_a1,0.122947142,0.0802688,153.579955,0.129933306,0.085322635,0.115960978,0.075369952,0.082103592,0.047613065
aggeneys_olivacea_CDE/CDE_b08_a2,0.109784804,0.043702796,56.68495918,0.114364086,0.046532114,0.105205522,0.040997474,0.078220833,0.026163834
aggeneys_olivacea_CDE/CDE_b08_a3,0.143294032,0.072899861,78.52863732,0.152020411,0.077203237,0.134567654,0.068780669,0.090561363,0.043255002
aggeneys_olivacea_CDE/CDE_b08_b1,0.103181556,0.069669065,622.0084494,0.124824298,0.073367864,0.081538814,0.066304014,0.054222238,0.042717397
aggeneys_olivacea_CDE/CDE_b08_b2,0.238756166,0.095243677,85.72406512,0.255354588,0.096407815,0.222157743,0.094387605,0.150854548,0.075345144
aggeneys_olivacea_CDE/CDE_b08_b3,0.208904184,0.074203843,154.6244794,0.227867947,0.07780997,0.189940422,0.070956876,0.129669494,0.051772634
aggeneys_olivacea_CDE/CDE_b08_c1,0.070369617,0.040100078,6.763668925,0.085296664,0.042338065,0.05544257,0.038091025,0.02716968,0.024559125
aggeneys_olivacea_CDE/CDE_b09_a1,0.168332517,0.062263113,77.2429489,0.17852419,0.064010253,0.158140844,0.06085988,0.106561619,0.046050581
aggeneys_olivacea_CDE/CDE_b09_a2,0.185793327,0.070266637,90.2483254,0.197387346,0.070726592,0.174199307,0.070044798,0.117715215,0.056654551
aggeneys_olivacea_CDE/CDE_b09_a3,0.210158554,0.072416116,87.40282928,0.223505307,0.074635731,0.1968118,0.070423885,0.129989601,0.051386824
aggeneys_olivacea_CDE/CDE_b09_b1,0.373242867,0.097237194,56.86017598,0.385234715,0.099044927,0.361251019,0.095706265,0.289007889,0.079460366
aggeneys_olivacea_CDE/CDE_b09_b2,0.322473,0.11371239,357.7863147,0.33659117,0.115075333,0.30835483,0.112667297,0.23561378,0.092134597
aggeneys_olivacea_CDE/CDE_b09_b3,0.200595532,0.104613584,114.1730445,0.213090417,0.107031264,0.188100647,0.102362923,0.139317382,0.076233937
aggeneys_olivacea_CDE/CDE_b09_c1,0.140278339,0.041695643,6.455429137,0.160044695,0.043172778,0.120511983,0.040853266,0.072318751,0.025758278
aggeneys_olivacea_CDE/CDE_b09_c2,0.104950782,0.047010283,25.76202083,0.115225629,0.049524266,0.094675935,0.044727364,0.06049012,0.0292471
aggeneys_olivacea_CDE/CDE_b10_a1,0.094838296,0.063169139,59.89079767,0.102295058,0.067787296,0.087381534,0.058706789,0.060490584,0.036392116
aggeneys_olivacea_CDE/CDE_b10_a2,0.061785278,0.029107924,34.59137045,0.066787596,0.030150008,0.05678296,0.028334537,0.038457237,0.021860099
aggeneys_olivacea_CDE/CDE_b10_a3,0.055610785,0.04356058,44.47461914,0.060134886,0.045938749,0.051086685,0.041342325,0.040229174,0.026809696
aggeneys_olivacea_CDE/CDE_b10_b1,0.323183651,0.109428941,498.8506426,0.338126663,0.111350464,0.308240639,0.107937134,0.239038207,0.092106054
aggeneys_olivacea_CDE/CDE_b10_b2,0.169168541,0.080809254,73.38776756,0.186426291,0.084855485,0.15191079,0.077029731,0.093954468,0.055575177
aggeneys_olivacea_CDE/CDE_b10_b3,0.371636614,0.049119705,46.1387217,0.38651945,0.048891544,0.356753778,0.049490783,0.288035088,0.047566053
aggeneys_olivacea_CDE/CDE_b10_b4,0.222409623,0.072212878,261.6070589,0.238490662,0.074156349,0.206328583,0.07062528,0.140921861,0.060062542
aggeneys_olivacea_CDE/CDE_b10_b5,0.301406755,0.080452596,66.74825177,0.317706143,0.084842274,0.285107368,0.076403047,0.216349461,0.055055225
aggeneys_olivacea_CDE/CDE_b10_c1,0.069802062,0.034567808,1.708028108,0.085956674,0.036757973,0.05364745,0.032601912,0.022283088,0.020981242
aggeneys_olivacea_CDE/CDE_b10_c2,0.116513933,0.058617041,15.15769356,0.13734162,0.059528724,0.095686246,0.058281411,0.051258235,0.046009659
aggeneys_olivacea_CDE/CDE_b10_c3,0.09534614,0.055864826,5.543066492,0.113320228,0.058304415,0.077372052,0.05368187,0.042791004,0.035190938
aggeneys_olivacea_CDE/CDE_b11_a1,0.097055507,0.0466067,75.13105372,0.104847938,0.047778689,0.089263077,0.045684676,0.055789323,0.035242829
aggeneys_olivacea_CDE/CDE_b11_a2,0.058387063,0.030826033,55.68852161,0.061303608,0.03208819,0.055470517,0.029685063,0.046244553,0.02255666
aggeneys_olivacea_CDE/CDE_b11_a3,0.079018755,0.044229658,57.52036978,0.084239515,0.046280439,0.073797994,0.042343813,0.053423846,0.030709808
aggeneys_olivacea_CDE/CDE_b11_b1,0.275571619,0.115118084,129.4090354,0.288066875,0.117629437,0.263076364,0.112870609,0.222883625,0.094824092
aggeneys_olivacea_CDE/CDE_b11_b2,0.387255456,0.148215757,188.0770488,0.399350397,0.151146648,0.375160516,0.145390813,0.292483726,0.113453274
aggeneys_olivacea_CDE/CDE_b11_b3,0.123101954,0.07693193,73.22337007,0.131969528,0.077970463,0.114234381,0.076052622,0.093093318,0.066197436
aggeneys_olivacea_CDE/CDE_b11_c1,0.09032168,0.046193811,9.961411748,0.103372756,0.048685559,0.077270605,0.04394523,0.040541985,0.027664054
aggeneys_olivacea_CDE/CDE_b12_a1,0.20045625,0.077983097,74.27602941,0.213122394,0.084167042,0.187790107,0.072081117,0.128844716,0.045200334
aggeneys_olivacea_CDE/CDE_b12_a2,0.184364532,0.059118039,77.63414932,0.193996777,0.062856635,0.174732287,0.055651731,0.122472382,0.036217321
aggeneys_olivacea_CDE/CDE_b12_a3,0.182549419,0.06095525,71.96229299,0.192758621,0.064448784,0.172340218,0.057665678,0.121326006,0.039239576
aggeneys_olivacea_CDE/CDE_b12_b1,0.244971915,0.068653599,12.95298284,0.258738996,0.069668379,0.231204833,0.067768881,0.171125012,0.053337105
aggeneys_olivacea_CDE/CDE_b12_b2,0.275697049,0.069530967,4.601199027,0.288624133,0.06785148,0.262769967,0.071376598,0.199858738,0.064606949
aggeneys_olivacea_CDE/CDE_b12_b3,0.317171169,0.049670625,6.918219665,0.331673937,0.050177337,0.302668402,0.049371596,0.232916097,0.04080398
aggeneys_olivacea_CDE/CDE_b12_b4,0.390277879,0.067042866,63.78128887,0.410663722,0.070502607,0.369892036,0.06585869,0.273474704,0.060036138
aggeneys_olivacea_CDE/CDE_b12_b5,0.469652184,0.09518118,6.251522019,0.497027604,0.099319852,0.442276765,0.091543672,0.276816157,0.066140186
aggeneys_olivacea_CDE/CDE_b12_b6,0.453485229,0.093199762,4.331892589,0.468461181,0.095351706,0.438509279,0.091233482,0.32937508,0.071302285
aggeneys_olivacea_CDE/CDE_b13_a1,0.176792988,0.068542117,102.845527,0.188909411,0.071146244,0.164676564,0.066171286,0.10673498,0.046242133
aggeneys_olivacea_CDE/CDE_b13_a2,0.170801155,0.042446707,74.34973957,0.182204509,0.044791265,0.159397802,0.040504924,0.105381124,0.028364985
aggeneys_olivacea_CDE/CDE_b13_a3,0.148589491,0.072439967,83.5608635,0.159511022,0.078136796,0.137667959,0.066885371,0.091094513,0.038113347
aggeneys_olivacea_CDE/CDE_b13_b1,0.274432808,0.08301967,129.5345045,0.290307013,0.087482131,0.258558603,0.07891681,0.185567306,0.055366917
aggeneys_olivacea_CDE/CDE_b13_b2,0.215139533,0.079144402,390.5955952,0.221980355,0.080675745,0.208298712,0.077785656,0.182764213,0.064937866
aggeneys_olivacea_CDE/CDE_b13_b3,0.284383468,0.058831571,27.89242441,0.304111603,0.058468551,0.264655334,0.059350927,0.183351271,0.049416448
aggeneys_olivacea_CDE/CDE_b13_b4,0.150508392,0.05789076,166.6265758,0.158733844,0.059042174,0.14228294,0.0568713,0.114185526,0.044804693
aggeneys_olivacea_CDE/CDE_b14_a1,0.169571786,0.069861703,51.06495595,0.179171885,0.073238069,0.159971687,0.066720634,0.110210457,0.04395856
aggeneys_olivacea_CDE/CDE_b14_a2,0.170190988,0.077625288,72.75133466,0.182538989,0.08302898,0.157842986,0.072443944,0.09901604,0.04409171
aggeneys_olivacea_CDE/CDE_b14_a3,0.078017046,0.037521053,69.45730707,0.082788991,0.039836283,0.073245102,0.035346876,0.05462015,0.02313079
aggeneys_olivacea_CDE/CDE_b14_b1,0.281404751,0.089649433,384.0846212,0.296878364,0.090185566,0.265931138,0.08927662,0.208605631,0.077373089
aggeneys_olivacea_CDE/CDE_b14_b2,0.189140974,0.041028659,4.570484198,0.208059803,0.043026914,0.170222144,0.039173016,0.11360484,0.026208182
aggeneys_olivacea_CDE/CDE_b14_b3,0.272888385,0.101726585,1487.782945,0.287620493,0.103762579,0.258156276,0.100009435,0.198147526,0.081625039
aggeneys_olivacea_CDE/CDE_b14_b4,0.23090568,0.081951835,126.6184725,0.24758954,0.087046997,0.214221819,0.077113296,0.138743855,0.047203082
aggeneys_olivacea_CDE/CDE_b14_b5,0.281088442,0.085028126,704.9185591,0.295743486,0.086305527,0.266433398,0.084204737,0.214503674,0.071676044
aggeneys_olivacea_CDE/CDE_b14_b6,0.186587447,0.041766988,40.86501372,0.197457835,0.042175492,0.175717059,0.04170008,0.137101913,0.037058932
aggeneys_olivacea_CDE/CDE_b14_b7,0.349157409,0.107415704,2102.1835,0.362290818,0.107020902,0.336024001,0.108278692,0.2618553,0.093029776
aggeneys_olivacea_CDE/CDE_b14_c1,0.130439845,0.054818289,16.01844297,0.147855342,0.056200884,0.113024348,0.05392322,0.068534738,0.036240597
aggeneys_olivacea_CDE/CDE_b15_a1,0.111349997,0.055093349,70.37165881,0.119274088,0.05861006,0.103425906,0.051738606,0.070316391,0.033724978
aggeneys_olivacea_CDE/CDE_b15_a2,0.12184056,0.047583358,87.96764759,0.130214031,0.04914124,0.11346709,0.046332718,0.075280841,0.033792072
aggeneys_olivacea_CDE/CDE_b15_a3,0.102582123,0.053518389,94.93612991,0.108663471,0.057725583,0.096500775,0.049494627,0.070858086,0.030832928
aggeneys_olivacea_CDE/CDE_b15_b1,0.317828555,0.091507681,752.4696152,0.328908548,0.091760125,0.306748562,0.091423764,0.257762556,0.082846995
aggeneys_olivacea_CDE/CDE_b15_b2,0.187646715,0.030810246,9.540163226,0.201506027,0.031564299,0.173787402,0.030274958,0.122313138,0.026079411
aggeneys_olivacea_CDE/CDE_b15_b3,0.20849223,0.027014258,1.631893139,0.21882889,0.026843577,0.198155571,0.027351182,0.149892656,0.029943771
aggeneys_olivacea_CDE/CDE_b15_b4,0.304705446,0.072908799,325.8692101,0.311493794,0.073129488,0.297917097,0.073105796,0.273155624,0.073181306
aggeneys_olivacea_CDE/CDE_b15_b5,0.201794794,0.06768673,214.064329,0.205903579,0.067259709,0.197686009,0.068273689,0.185122381,0.065776112
aggeneys_olivacea_CDE/CDE_b15_b6,0.204421939,0.05864077,122.0775518,0.216021666,0.058656103,0.192822212,0.058857085,0.154992149,0.052984352
aggeneys_olivacea_CDE/CDE_b15_c1,0.093465176,0.03838532,81.68248757,0.106462396,0.039827657,0.080467957,0.037178208,0.04533033,0.025447161
aggeneys_olivacea_CDE/CDE_b16_a1,0.127398237,0.057873657,68.80447396,0.140076641,0.061025439,0.114719832,0.055084744,0.068250267,0.037754424
aggeneys_olivacea_CDE/CDE_b16_a2,0.129101416,0.064711951,51.90852315,0.141588686,0.06796634,0.116614147,0.061778626,0.069798903,0.043263619
aggeneys_olivacea_CDE/CDE_b16_a3,0.108534452,0.053889113,71.82780191,0.117732844,0.055539973,0.09933606,0.052496629,0.063979971,0.03902057
aggeneys_olivacea_CDE/CDE_b16_b1,0.208014188,0.067325313,128.9958818,0.224732626,0.067299301,0.191295749,0.067759312,0.116567505,0.065168671
aggeneys_olivacea_CDE/CDE_b16_b2,0.216564089,0.074593046,18.94874546,0.234596422,0.073704826,0.198531755,0.07557745,0.153750383,0.068468528
aggeneys_olivacea_CDE/CDE_b16_b3,0.348688899,0.109698448,37.92750741,0.361535764,0.109968714,0.335842034,0.10971936,0.268003776,0.096558289
aggeneys_olivacea_CDE/CDE_b16_b4,0.174788335,0.075404771,1498.940318,0.183910698,0.075871238,0.165665973,0.075324623,0.131204955,0.067345192
aggeneys_olivacea_CDE/CDE_b16_c1,0.039658489,0.040101754,14.72976051,0.051757697,0.042616064,0.027559281,0.037939339,0.009180281,0.024421506
aggeneys_olivacea_CDE/CDE_b16_c2,0.079802162,0.051240398,8.302895682,0.097780157,0.054204907,0.061824166,0.048588393,0.026844044,0.031149926
aggeneys_olivacea_CDE/CDE_b17_a1,0.187842843,0.08094382,47.63897414,0.20390997,0.087182816,0.171775716,0.074894723,0.112372955,0.045117993
aggeneys_olivacea_CDE/CDE_b17_a2,0.216893263,0.086198218,65.00522662,0.233785939,0.088458544,0.200000586,0.084290368,0.133512298,0.063832149
aggeneys_olivacea_CDE/CDE_b17_a3,0.140780276,0.08232605,41.82404499,0.153511713,0.088376141,0.128048839,0.076480541,0.085929268,0.046225492
aggeneys_olivacea_CDE/CDE_b17_b1,0.162637685,0.039282825,2.006818939,0.184575917,0.040900417,0.140699453,0.037913539,0.070222803,0.02634101
aggeneys_olivacea_CDE/CDE_b17_b2,0.320523616,0.064826817,2.920832227,0.346447191,0.066154335,0.294600041,0.063609557,0.183616462,0.048731867
aggeneys_olivacea_CDE/CDE_b17_b3,0.124684077,0.022634365,2.183940344,0.151124747,0.023465262,0.098243406,0.022021798,0.070916899,0.016161656
aggeneys_olivacea_CDE/CDE_b17_b4,0.325543733,0.147882253,83.8669853,0.337071305,0.150366637,0.314016162,0.145533204,0.26376696,0.125948573
aggeneys_olivacea_CDE/CDE_b17_b5,0.429931516,0.062014528,117.6336773,0.441192287,0.061125147,0.418670745,0.062990135,0.364230418,0.06412971
aggeneys_olivacea_CDE/CDE_b17_b6,0.205362202,0.064108376,31.34881774,0.219661822,0.065932326,0.191062582,0.062630692,0.139655577,0.049615372
aggeneys_olivacea_CDE/CDE_b17_c1,0.087743996,0.053141152,9.313912376,0.107563939,0.055110145,0.067924053,0.051588706,0.036535245,0.037557555
aggeneys_olivacea_CDE/CDE_b18_a1,0.140682427,0.077355152,87.83767201,0.152420832,0.082356757,0.128944022,0.072540093,0.071064707,0.044269769
